Course Title,Survey Score,Q1 - To what extent is the following statement true:  I would recommend others to attend [Course Title],Q2 - [Optional] That's great! What was the main reason you feel this way?,Q3 - [Optional] We're sorry to hear that. What was the main reason you feel this way?,Q4 - [Optional] What was the main reason you feel this way?,"Q5 - To what extent is the following statement true:  I am satisfied with the services offered by [Training Provider Name] (e.g., efficiency in handling registration matters, responsiveness in addressing learner queries etc.).",Q6 - To what extent is the following statement true:  The course content covered the knowledge/skills as outlined in the course synopsis.,Q7 - To what extent is the following statement true:  The course content is relevant to my work.,"Q8 - To what extent is the following statement true:  The course materials supported my learning (e.g., notes, references, presentation slides, etc.).","Q9 - To what extent is the following statement true:  The teaching methods used were innovative (e.g., teaching strategies and activities, technological tools, etc.).",Q10 - The teaching methods used were effective in helping me learn and acquire skills.,Q11_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 1),Q11_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 2),Q11_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 3),Q12_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 1),Q12_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 2),Q12_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 3),Q13 - To what extent is the following statement true:  The course duration was just right.,Q14 - I found the course duration ________.,Q15 - To what extent is the following statement true:  The course met my learning needs.,Q16 - To what extent is the following statement true:  The course provided good value-for-money.,Q17 - Are the following statements true to you (select all that apply)?:,Q25 - To what extent is the following statement true:  The course will help me progress in my work / career.,Q26 - To what extent is the following statement true:  The skills and knowledge acquired in the course will lead to improvements in my performance at work.,Q27 - [Optional] What is one thing we can do to improve future classes?,Trainer Name 1,Trainer Name 2,Trainer Name 3
Leading & Navigating Change Successfully at the Workplace,5,To a Very Large Extent,I learned something about myself while learning something I can also use for work,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Large Extent,,Chew Nai Sian,,
Performance-First Learning: A Day as an Instructional Designer,5,To a Very Large Extent,Dr Lee was a great facilitator and engaging in his delivery and hands on approach to the course content. I really like the experience in linking the otherwise dull frameworks to real life scenarios,,,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To Some Extent,To Some Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Large Extent,,To a Large Extent,"N/A, the course was sponsored by my employer",,To a Large Extent,To a Large Extent,,Lee Kang Yam,,
AITP 2.0 Module 1: Facilitating Effective Learning Experience,5,To a Very Large Extent,Lecturer share a lot model andd,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To Some Extent,,To a Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Tan Choon Ping,,
Elevating Adult Learning: Practical Andragogy in Action,4,To a Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
Creating Dynamic Online Courses: The Power of CoI and AI,5,To a Very Large Extent,**********,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent, **********,,,
Voice Mastery for Dynamic Facilitation,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Adeline Gan Siew Keng,,
Design for Impact with Technology: A Deep Dive into UDL,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Wee Irene,,
Design for Impact with Technology: A Deep Dive into UDL,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
Creating Dynamic Online Courses: The Power of CoI and AI,3,To Some Extent,,,CoI Framework is useful but our organisation does not use Google apps. ,To a Large Extent,To a Large Extent,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To Some Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Small Extent,To Some Extent,,,,
Elevating Adult Learning: Practical Andragogy in Action,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
"Graduate Certificate in Innovative Approaches to Adult Learning - GCIAL (f2f, sync) – AY2025",5,To a Very Large Extent,A different learning experience where we are introduced to new technology ,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,Nil,Bi Xiaofang,Ho Yan Yin,"Chye Yen Leng, Stefanie"
Agility in Action: Embedding Learning in the Flow of Work for Performance at Speed,5,To a Very Large Extent,good,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,good,Phua Ying Tse Louise,,
Facilitate with Flair: The Workshop Method Unleashed for Ultimate Impact,3,To Some Extent,,,,To a Large Extent,To a Very Large Extent,To Some Extent,To Some Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,Sim Lee Eng Serene,,
Jumpstart Your Learning Design with Generative AI! - A Hands-On Essentials Workshop,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Tjan Pin Ann Darren Francis,,
Performance-First Learning: A Day as an Instructional Designer,3,To Some Extent,,,Na,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,Na,,,
Building Your Brand on Linkedin with AI,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,,,,,To a Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
The Future of Learning: Design for All with Technology & UDL,3,To Some Extent,,,More practical exercises on using new GenAI tools,To Some Extent,To a Large Extent,To a Large Extent,To a Small Extent,To Some Extent,To Some Extent,To a Very Large Extent,,,To a Large Extent,,,To Some Extent,,To Some Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,Design it for newer Trainers,Wee Irene,,
PBL for Learning Reimagined: The “What”,5,To a Very Large Extent,Nill,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
Designing and Implementing Educational Escape Rooms,5,To a Very Large Extent,A very useful course,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
Designing and Implementing Educational Escape Rooms,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
Designing and Implementing Educational Escape Rooms,4,To a Large Extent,Learn the ESCAPES framework to design escape room activity ,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,Provide finger food or biscuits for tea breaks,,,
Leading and Sustaining Change: Tools for Managers in Transformational Environments,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Sim Lee Eng Serene,,
Learning That Works: Designing Evidence-Based Training for Real Workplace Impact,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Sim Lee Eng Serene,,
"Graduate Certificate in Implementing and Evaluating Innovation, Change and Learning - GCIEX (f2f, sync) AY2025",5,To a Very Large Extent,The clarity provided that crystalize our theories ,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,,To a Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Very Large Extent,Ensure that instructors providing the course have the passion and energy to impart are super knowledge,Hua Shu Cheng Allen,TAN HUI LING RENEE,
The Fundamentals of Coaching in the Workplace,4,To a Large Extent,,,,To Some Extent,To Some Extent,To a Small Extent,To Some Extent,To Some Extent,To Some Extent,To a Small Extent,,,To a Small Extent,,,To a Small Extent,,To a Small Extent,To a Small Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To a Small Extent,,NG BOON ENG,,
Facilitation Mastery: Unleashing the Power of Participation Through the Focused Conversation Technique,4,To a Large Extent,The role play exercise was very good ,,,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
Cultivating Adaptability Navigating Changes,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
Facilitation Mastery: Unleashing the Power of Participation Through the Focused Conversation Technique,5,To a Very Large Extent,Structured and useful and prsctical,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,Keep it up,,,
The Future of Adult Education: Generative AI-Enhanced Case-Based Learning,4,To a Large Extent,not relevant for all,,,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,"N/A, the course was sponsored by my employer",,To a Large Extent,To a Large Extent,,,,
Teaching with Impact: Aligning Adult Learning with Industry Transformation Roadmaps (ITRs),3,To Some Extent,,,,To a Large Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,,,,,,,To Some Extent,,To Some Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,the hdmi cable needs to be upgraded,,,
PBL for Learning Reimagined: The “What”,4,To a Large Extent,Nice learning environment,,,To Some Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
"Graduate Certificate in Implementing and Evaluating Innovation, Change and Learning - GCIEX (f2f, sync)",5,To a Very Large Extent,It’s a great in depth learning on change agent and leadership ,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,**********,,,
Design for Impact with Technology: Strategic Use of Essential Frameworks,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
Design for Impact with Technology: Strategic Use of Essential Frameworks,5,To a Very Large Extent,I have learned something new,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
Design Thinking Expresso,5,To a Very Large Extent,Useful and practical application,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,Provide food please,Joel Ng Tzuo-Wei,,
Design for Impact with Technology: Strategic Use of Essential Frameworks,4,To a Large Extent,,,,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Wee Irene,,
The Fundamentals of Coaching in the Workplace,5,To a Very Large Extent,Very good learning points on coaching,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,More videos ,NG BOON ENG,,
"Graduate Certificate in Leading Learning, Innovation and Change Across Boundaries - GCLBX (f2f, sync) AY2025",5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,CHEN ZAN,PANG YEN-NING,LEE GEK CHOO MOIRA
Empowering Assessment with AI and Technology,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
Performance-First Learning: A Day as an Instructional Designer,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,Lee Kang Yam,,
Creating Dynamic Online Courses: The Power of CoI and AI,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Eunice Lim Swee Suat,,
Personal Mastery - Self-Management for Holistic Well Being,5,To a Very Large Extent,Very relevant ,,,To Some Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Phua Ying Tse Louise,,
Command the Room: Elevate Your Speaking Influence,4,To a Large Extent,,,,To Some Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To a Large Extent,,Wong Yong Lye Joseph,,
PBL Reimagined: Revolutionize Adult Learning with AI-Powered Problem-Based Learning,5,To a Very Large Extent,The approach and discussions in this course,,,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To a Large Extent,Please reduce the questions in the SSG survey ,,,
Performance-First Learning: A Day as an Instructional Designer with Handshaw's Model,3,To Some Extent,,,,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To Some Extent,,To a Large Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
